me_no_regr,me_simpl_regr,me_dir_w_simpl_regr,width
5.32636260339,2.66640622126,2.53033704098,5
5.32636260339,2.66640622126,2.50728974743,10
5.32636260339,2.66640622126,2.49032003898,20
5.32636260339,2.66640622126,2.49836377173,30
5.32636260339,2.66640622126,2.51367007412,40
5.32636260339,2.66640622126,2.55436656799,60
5.32636260339,2.66640622126,2.60200181506,90
5.32636260339,2.66640622126,2.62806352373,120
5.32636260339,2.66640622126,2.65995242183,180
5.30609195937,2.85060187093,2.65869266365,5
5.30609195937,2.85060187093,2.64499702492,10
5.30609195937,2.85060187093,2.64539742695,20
5.30609195937,2.85060187093,2.65724869714,30
5.30609195937,2.85060187093,2.67715788263,40
5.30609195937,2.85060187093,2.71897526418,60
5.30609195937,2.85060187093,2.77123617353,90
5.30609195937,2.85060187093,2.80237330328,120
5.30609195937,2.85060187093,2.84285689008,180
5.34875093545,2.80004482966,2.69225879055,5
5.34875093545,2.80004482966,2.65298984538,10
5.34875093545,2.80004482966,2.65149068472,20
5.34875093545,2.80004482966,2.65791140685,30
5.34875093545,2.80004482966,2.66724232087,40
5.34875093545,2.80004482966,2.69266028847,60
5.34875093545,2.80004482966,2.72124105219,90
5.34875093545,2.80004482966,2.73941547965,120
5.34875093545,2.80004482966,2.77677789171,180
5.54334969705,2.87456872276,2.72756382036,5
5.54334969705,2.87456872276,2.70016844476,10
5.54334969705,2.87456872276,2.6817421429,20
5.54334969705,2.87456872276,2.68018579264,30
5.54334969705,2.87456872276,2.6953289592,40
5.54334969705,2.87456872276,2.73734160459,60
5.54334969705,2.87456872276,2.78703808837,90
5.54334969705,2.87456872276,2.81385003601,120
5.54334969705,2.87456872276,2.85809858962,180
5.43355775993,2.78493624235,2.61069044586,5
5.43355775993,2.78493624235,2.58306605477,10
5.43355775993,2.78493624235,2.57028283976,20
5.43355775993,2.78493624235,2.58566742799,30
5.43355775993,2.78493624235,2.60435794596,40
5.43355775993,2.78493624235,2.64211958815,60
5.43355775993,2.78493624235,2.69496778393,90
5.43355775993,2.78493624235,2.7260434462,120
5.43355775993,2.78493624235,2.76729238654,180
5.57261049164,2.8982626785,2.73969944623,5
5.57261049164,2.8982626785,2.69968289421,10
5.57261049164,2.8982626785,2.69640074432,20
5.57261049164,2.8982626785,2.71726508051,30
5.57261049164,2.8982626785,2.73879157499,40
5.57261049164,2.8982626785,2.78549464046,60
5.57261049164,2.8982626785,2.83783955615,90
5.57261049164,2.8982626785,2.85455332248,120
5.57261049164,2.8982626785,2.88670132422,180
5.45536432201,2.77617698064,2.64769918086,5
5.45536432201,2.77617698064,2.62175480897,10
5.45536432201,2.77617698064,2.6088775158,20
5.45536432201,2.77617698064,2.61919015639,30
5.45536432201,2.77617698064,2.63663747518,40
5.45536432201,2.77617698064,2.67181928387,60
5.45536432201,2.77617698064,2.70484447153,90
5.45536432201,2.77617698064,2.72353210254,120
5.45536432201,2.77617698064,2.76306171547,180
5.50697363539,2.90553604375,2.71623301926,5
5.50697363539,2.90553604375,2.68988631253,10
5.50697363539,2.90553604375,2.68909064836,20
5.50697363539,2.90553604375,2.70562447348,30
5.50697363539,2.90553604375,2.72739882959,40
5.50697363539,2.90553604375,2.77476094723,60
5.50697363539,2.90553604375,2.82435068697,90
5.50697363539,2.90553604375,2.84588734488,120
5.50697363539,2.90553604375,2.8809525462,180
5.45288547116,2.88945963256,2.68082568058,5
5.45288547116,2.88945963256,2.65917001534,10
5.45288547116,2.88945963256,2.66946524948,20
5.45288547116,2.88945963256,2.68901645959,30
5.45288547116,2.88945963256,2.71444451263,40
5.45288547116,2.88945963256,2.75987668257,60
5.45288547116,2.88945963256,2.80914383548,90
5.45288547116,2.88945963256,2.83295368191,120
5.45288547116,2.88945963256,2.87176802414,180
5.36529554547,2.82743004284,2.63338485069,5
5.36529554547,2.82743004284,2.60645381532,10
5.36529554547,2.82743004284,2.60227087633,20
5.36529554547,2.82743004284,2.61966747672,30
5.36529554547,2.82743004284,2.64307265545,40
5.36529554547,2.82743004284,2.68845891076,60
5.36529554547,2.82743004284,2.73767567575,90
5.36529554547,2.82743004284,2.7621327001,120
5.36529554547,2.82743004284,2.80585850697,180
