me_no_regr,me_simpl_regr,me_dir_w_simpl_regr,width
3.18045260726,3.11928166082,2.72481130985,5
3.18045260726,3.11928166082,2.69238361959,10
3.18045260726,3.11928166082,2.69691278398,20
3.18045260726,3.11928166082,2.71635832842,30
3.18045260726,3.11928166082,2.74309526105,40
3.18045260726,3.11928166082,2.8028615252,60
3.18045260726,3.11928166082,2.88108332698,90
3.18045260726,3.11928166082,2.9347536546,120
3.18045260726,3.11928166082,2.99421524031,180
3.20408244982,3.14522384078,2.71833499587,5
3.20408244982,3.14522384078,2.71139521204,10
3.20408244982,3.14522384078,2.72878885276,20
3.20408244982,3.14522384078,2.75518244442,30
3.20408244982,3.14522384078,2.78401206292,40
3.20408244982,3.14522384078,2.84498123825,60
3.20408244982,3.14522384078,2.91462661116,90
3.20408244982,3.14522384078,2.95986019138,120
3.20408244982,3.14522384078,3.01421671512,180
3.21401143915,3.12741811234,2.70761518054,5
3.21401143915,3.12741811234,2.68490369194,10
3.21401143915,3.12741811234,2.68062229563,20
3.21401143915,3.12741811234,2.70266678423,30
3.21401143915,3.12741811234,2.7250045883,40
3.21401143915,3.12741811234,2.76864052353,60
3.21401143915,3.12741811234,2.83229340995,90
3.21401143915,3.12741811234,2.88621721117,120
3.21401143915,3.12741811234,2.96333383049,180
3.18731372126,3.10891663187,2.65314356044,5
3.18731372126,3.10891663187,2.64315336523,10
3.18731372126,3.10891663187,2.67247610569,20
3.18731372126,3.10891663187,2.70538550056,30
3.18731372126,3.10891663187,2.7431102904,40
3.18731372126,3.10891663187,2.80865434821,60
3.18731372126,3.10891663187,2.87045187244,90
3.18731372126,3.10891663187,2.91681233872,120
3.18731372126,3.10891663187,2.96823912549,180
3.17659583432,3.0975294253,2.67494507724,5
3.17659583432,3.0975294253,2.65735362576,10
3.17659583432,3.0975294253,2.67315635861,20
3.17659583432,3.0975294253,2.68955021557,30
3.17659583432,3.0975294253,2.71548355974,40
3.17659583432,3.0975294253,2.77425354656,60
3.17659583432,3.0975294253,2.84657604554,90
3.17659583432,3.0975294253,2.90258994326,120
3.17659583432,3.0975294253,2.96602786789,180
3.22168761553,3.16745408122,2.76760357476,5
3.22168761553,3.16745408122,2.74115534094,10
3.22168761553,3.16745408122,2.74597220798,20
3.22168761553,3.16745408122,2.76881569558,30
3.22168761553,3.16745408122,2.80166301794,40
3.22168761553,3.16745408122,2.87143654561,60
3.22168761553,3.16745408122,2.95411502447,90
3.22168761553,3.16745408122,3.00377346995,120
3.22168761553,3.16745408122,3.04690703527,180
3.16149309392,3.09662454503,2.69800922617,5
3.16149309392,3.09662454503,2.68197924636,10
3.16149309392,3.09662454503,2.67325102263,20
3.16149309392,3.09662454503,2.68802326487,30
3.16149309392,3.09662454503,2.70997969237,40
3.16149309392,3.09662454503,2.75859722677,60
3.16149309392,3.09662454503,2.8285963978,90
3.16149309392,3.09662454503,2.8838004783,120
3.16149309392,3.09662454503,2.94875050051,180
3.18454069609,3.1236690132,2.66646588298,5
3.18454069609,3.1236690132,2.66829778805,10
3.18454069609,3.1236690132,2.69225441922,20
3.18454069609,3.1236690132,2.71523576926,30
3.18454069609,3.1236690132,2.74368593348,40
3.18454069609,3.1236690132,2.79372416001,60
3.18454069609,3.1236690132,2.85539123296,90
3.18454069609,3.1236690132,2.90751773407,120
3.18454069609,3.1236690132,2.96484039098,180
3.16383877881,3.10887874705,2.63459364268,5
3.16383877881,3.10887874705,2.6285059015,10
3.16383877881,3.10887874705,2.64100998795,20
3.16383877881,3.10887874705,2.66784745341,30
3.16383877881,3.10887874705,2.70166658362,40
3.16383877881,3.10887874705,2.77133253642,60
3.16383877881,3.10887874705,2.84081387405,90
3.16383877881,3.10887874705,2.89455511061,120
3.16383877881,3.10887874705,2.95916287235,180
3.21829276548,3.15208454756,2.7117651878,5
3.21829276548,3.15208454756,2.700669724,10
3.21829276548,3.15208454756,2.73418004592,20
3.21829276548,3.15208454756,2.77425996141,30
3.21829276548,3.15208454756,2.81033654208,40
3.21829276548,3.15208454756,2.86909303167,60
3.21829276548,3.15208454756,2.93346666605,90
3.21829276548,3.15208454756,2.98127988658,120
3.21829276548,3.15208454756,3.02792336621,180
