me_no_regr,me_simpl_regr,me_dir_w_simpl_regr,width
3.32501424481,2.0747752974,2.06815791571,5
3.32501424481,2.0747752974,2.03814346421,10
3.32501424481,2.0747752974,2.02919702099,20
3.32501424481,2.0747752974,2.0259445328,30
3.32501424481,2.0747752974,2.0259869992,40
3.32501424481,2.0747752974,2.03253693427,60
3.32501424481,2.0747752974,2.04305835997,90
3.32501424481,2.0747752974,2.05347687874,120
3.32501424481,2.0747752974,2.06696374679,180
3.42151141785,2.1179203294,2.0887577164,5
3.42151141785,2.1179203294,2.0828969442,10
3.42151141785,2.1179203294,2.05772661271,20
3.42151141785,2.1179203294,2.05536802955,30
3.42151141785,2.1179203294,2.0619333893,40
3.42151141785,2.1179203294,2.0744000735,60
3.42151141785,2.1179203294,2.09086469401,90
3.42151141785,2.1179203294,2.10419017095,120
3.42151141785,2.1179203294,2.11815609334,180
3.55045799213,2.19721127369,2.1405202789,5
3.55045799213,2.19721127369,2.13044763566,10
3.55045799213,2.19721127369,2.13215112094,20
3.55045799213,2.19721127369,2.13170901373,30
3.55045799213,2.19721127369,2.13618756538,40
3.55045799213,2.19721127369,2.1491331883,60
3.55045799213,2.19721127369,2.16706881973,90
3.55045799213,2.19721127369,2.18240784187,120
3.55045799213,2.19721127369,2.19705802043,180
3.35403921665,2.09070686255,2.07285076795,5
3.35403921665,2.09070686255,2.0616615766,10
3.35403921665,2.09070686255,2.03763419574,20
3.35403921665,2.09070686255,2.02872832958,30
3.35403921665,2.09070686255,2.02782112474,40
3.35403921665,2.09070686255,2.03583771604,60
3.35403921665,2.09070686255,2.05234167241,90
3.35403921665,2.09070686255,2.06613296695,120
3.35403921665,2.09070686255,2.08192793742,180
3.40358880513,1.98979247308,2.00082387416,5
3.40358880513,1.98979247308,1.98016364995,10
3.40358880513,1.98979247308,1.9614878095,20
3.40358880513,1.98979247308,1.9515961532,30
3.40358880513,1.98979247308,1.94762358298,40
3.40358880513,1.98979247308,1.949718139,60
3.40358880513,1.98979247308,1.95936215247,90
3.40358880513,1.98979247308,1.97276405205,120
3.40358880513,1.98979247308,1.98636503304,180
3.56340088855,2.1707336405,2.14183334875,5
3.56340088855,2.1707336405,2.13579831804,10
3.56340088855,2.1707336405,2.12108731597,20
3.56340088855,2.1707336405,2.11427811374,30
3.56340088855,2.1707336405,2.11231019376,40
3.56340088855,2.1707336405,2.11881866541,60
3.56340088855,2.1707336405,2.13465746466,90
3.56340088855,2.1707336405,2.14703839823,120
3.56340088855,2.1707336405,2.16138755835,180
3.46764945537,2.23310030928,2.16572374964,5
3.46764945537,2.23310030928,2.1678029045,10
3.46764945537,2.23310030928,2.15109165419,20
3.46764945537,2.23310030928,2.14977500234,30
3.46764945537,2.23310030928,2.15464830025,40
3.46764945537,2.23310030928,2.16958516429,60
3.46764945537,2.23310030928,2.18823277931,90
3.46764945537,2.23310030928,2.20501667899,120
3.46764945537,2.23310030928,2.2272057965,180
3.47979125901,2.18471956216,2.14359575083,5
3.47979125901,2.18471956216,2.12235876699,10
3.47979125901,2.18471956216,2.11438475966,20
3.47979125901,2.18471956216,2.10959362944,30
3.47979125901,2.18471956216,2.1092321468,40
3.47979125901,2.18471956216,2.12043145773,60
3.47979125901,2.18471956216,2.14062624418,90
3.47979125901,2.18471956216,2.15844105117,120
3.47979125901,2.18471956216,2.17664374568,180
3.57197233528,2.16256267755,2.14791584516,5
3.57197233528,2.16256267755,2.10592066478,10
3.57197233528,2.16256267755,2.08241788966,20
3.57197233528,2.16256267755,2.07792213301,30
3.57197233528,2.16256267755,2.0815038514,40
3.57197233528,2.16256267755,2.0939496669,60
3.57197233528,2.16256267755,2.11341902627,90
3.57197233528,2.16256267755,2.13256842157,120
3.57197233528,2.16256267755,2.15591720191,180
3.48114719921,2.24897979758,2.16442189115,5
3.48114719921,2.24897979758,2.17100280693,10
3.48114719921,2.24897979758,2.15762093255,20
3.48114719921,2.24897979758,2.1614312509,30
3.48114719921,2.24897979758,2.16600093332,40
3.48114719921,2.24897979758,2.17256477931,60
3.48114719921,2.24897979758,2.19118958167,90
3.48114719921,2.24897979758,2.21060678589,120
3.48114719921,2.24897979758,2.23512975445,180
